,agency,local_area,4 Year Cohort Graduation Rate* ,Dropout Rate *,Assessment: ELA Participation,Assessment: Math Participation Rate,Assessment: ELA Achievement Rate,Assessment: Math Achievement Rate,Discipline (>10 days) Rate *,Discipline (>10 days) Areas Disproportionate *,LRE Rate: In Regular Class more than 80%,LRE Rate: In Regular Class less than 40%,LRE Rate: Separate Schools,Preschool LRE: Regular Program,Preschool LRE: Separate Class,Positive Socio-Emotional Skills Substantially Increased,Positive Socio-Emotional Skills Functioning within age expectations,Acquisition of Knowledge/Skills Substantially Increased,Acquisition of Knowledge/Skills Functioning within age expectations,Use of Appropriate Behaviors Substantially Increased,Use of Appropriate Behaviors Functioning within age expectations,Parent Involvement Rate,Overall Disproportionality Areas,Disproportionality by Disability Areas,Rate of Eligibility Determined within 60 days,Rate of Part C to Part B Students with Timely IEPs ,Rate of Students with Transition Goals/Services,Rate of Post School Outcomes: Higher Education,Competitive Employment or Higher Education,Any Employment or Education
0,ABC Unified,ABC Unified,78.24%,0.00%,96.48%,96.18%,24.33%,18.69%,0.16,0,53.20%,18.77%,1.75%,59.47%,38.42%,66.67%,71.43%,65.22%,60.42%,76.19%,68.75%,99.81%,0,1,100.00%,88.89%,99.84%,NC,NC,NC
1,ACE Charter High,El Dorado County Charter,NC,3.45%,95.00%,85.00%,31.58%,17.65%,0.00,0,98.67%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,96.67%,0,1,NC,NC,90.74%,NC,NC,NC
2,ACE Empower Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,8.62%,0.00%,NC,0,96.72%,1.64%,1.64%,NC,NC,NC,NC,NC,NC,NC,NC,98.63%,0,1,NC,NC,NC,NC,NC,NC
3,ACE Esperanza Middle,El Dorado County Charter,NC,NC,100.00%,98.04%,7.84%,2.00%,0.00,0,93.88%,6.12%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,NC,NC,NC,NC
4,ACE Inspire Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,5.77%,1.92%,0.00,0,96.15%,3.85%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,NC,NC,NC,NC
5,APEX Academy,Los Angeles Unified,NC,NC,94.59%,94.59%,5.71%,0.00%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
6,ARISE High,El Dorado County Charter,NC,NC,66.67%,83.33%,NC,NC,0.00,0,94.44%,5.56%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,87.50%,NC,NC,NC
7,ASA Charter,San Bernardino City Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,95.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
8,ASCEND,El Dorado County Charter,NC,NC,97.56%,97.56%,10.00%,5.00%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
9,Academia Avance Charter,Los Angeles County Charter,NC,NC,100.00%,100.00%,21.74%,17.39%,0.00,0,97.67%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
10,Academia Moderna,Los Angeles Unified,NC,NC,100.00%,100.00%,4.17%,4.17%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
11,Academies of the Antelope Valley,Antelope Valley,NC,NC,97.22%,97.22%,17.14%,14.29%,NC,NC,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
12,Academy for Academic Excellence,Desert Mountain,NC,NC,94.87%,93.59%,22.97%,17.81%,NC,NC,78.57%,12.50%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.53%,0,0,NC,NC,NC,NC,NC,NC
13,Academy of Careers and Exploration,Desert Mountain,NC,NC,100.00%,100.00%,NC,NC,0.00,0,93.18%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
14,Acalanes Union High,Contra Costa,85.16%,0.00%,90.21%,87.41%,55.04%,20.80%,0.00,0,71.78%,2.97%,5.61%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,100.00%,NC,99.79%,85.71%,94.96%,100.00%
15,Accelerated,Los Angeles Unified,NC,NC,98.28%,98.28%,15.79%,8.77%,0.00,0,92.31%,1.54%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
16,Accelerated Achievement Academy,Mendocino County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,90.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
17,Accelerated Charter Elementary,Los Angeles Unified,NC,NC,96.88%,96.88%,12.90%,16.13%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
18,Accelerated Charter High,Tulare County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
19,Achieve Academy,El Dorado County Charter,NC,NC,100.00%,96.97%,3.03%,3.13%,0.00,0,90.91%,1.82%,3.64%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
20,Achieve Charter High,El Dorado County Charter,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
21,Achieve Charter School of Paradise Inc.,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
22,Acton-Agua Dulce Unified,Antelope Valley,NC,0.00%,87.61%,89.38%,20.20%,13.86%,0.66,0,56.82%,24.43%,0.57%,76.00%,8.00%,NC,NC,NC,NC,NC,NC,99.22%,0,0,100.00%,NC,97.96%,NC,NC,NC
23,Adelante Charter,Santa Barbara County,NC,NC,94.12%,100.00%,NC,NC,0.00,0,92.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
24,Adelanto Elementary,Desert Mountain,NC,NC,97.97%,97.63%,4.37%,2.89%,1.68,1,45.80%,31.13%,3.34%,53.57%,33.04%,NC,NC,NC,NC,NC,NC,99.07%,0,2,98.78%,80.00%,NC,NC,NC,NC
25,Advanced Learning Academy,Santa Ana Unified,NC,NC,100.00%,100.00%,23.53%,11.76%,NC,NC,94.74%,2.63%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
26,AeroSTEM Academy,Sutter County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
27,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,52.00%,62.64%,87.04%,87.04%,4.26%,0.00%,0.00,0,30.92%,26.10%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.44%,NC,NC,NC,NC,100.00%,50.00%,50.00%,60.00%
28,Alameda Community Learning Center,El Dorado County Charter,NC,NC,90.91%,90.91%,40.00%,30.00%,0.00,0,96.97%,3.03%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,1,0,NC,NC,NC,NC,NC,NC
29,Alameda County Office of Education,Tri-Valley,NC,NC,25.00%,20.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,100.00%,NC,98.90%,NC,NC,NC
30,Alameda Unified,North Region,69.47%,0.98%,90.37%,90.53%,23.16%,16.15%,0.71,0,56.15%,15.25%,3.91%,40.17%,58.12%,NC,76.32%,NC,78.95%,NC,84.21%,99.18%,0,2,100.00%,NC,99.07%,63.24%,83.82%,100.00%
31,Albany City Unified,North Region,79.31%,0.00%,90.45%,90.45%,35.40%,32.30%,0.00,0,73.00%,5.70%,2.66%,90.91%,3.03%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
32,Albert Einstein Academy Charter Elementary,El Dorado County Charter,NC,NC,100.00%,100.00%,24.00%,18.00%,0.00,0,86.30%,1.37%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,NC,NC,NC,NC
33,Albert Einstein Academy Charter Middle,El Dorado County Charter,NC,NC,98.65%,100.00%,15.07%,5.41%,0.00,0,75.00%,1.67%,3.33%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
34,Alder Grove Charter School 2,Humboldt-Del Norte,NC,NC,97.83%,93.48%,6.67%,4.65%,0.00,0,98.48%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
35,Alexander Valley Union Elementary,Sonoma County,NC,NC,88.89%,88.89%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
36,Alfred B. Nobel Charter Middle,Los Angeles Unified,NC,NC,95.29%,95.29%,25.27%,18.68%,0.00,0,80.46%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
37,Alhambra Unified,West San Gabriel Valley,73.10%,3.59%,96.22%,95.95%,15.03%,11.11%,0.00,0,56.27%,15.30%,4.57%,42.69%,52.63%,76.19%,70.00%,88.00%,69.39%,82.14%,65.31%,99.89%,0,4,100.00%,69.70%,100.00%,73.55%,79.34%,94.21%
38,Alianza Charter,Pajaro Valley Joint Unified,NC,NC,100.00%,100.00%,21.95%,17.07%,0.00,0,91.80%,4.92%,1.64%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
39,Alisal Union,Monterey County,NC,NC,97.94%,97.75%,8.62%,7.68%,NC,0,57.14%,29.13%,0.55%,18.75%,31.67%,75.86%,51.28%,55.56%,50.00%,NC,66.67%,99.83%,0,0,100.00%,100.00%,NC,NC,NC,NC
40,All Tribes Charter,North Inland,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
41,Allegiance STEAM Academy - Thrive,Desert/Mountain Charter,NC,NC,91.89%,91.89%,23.53%,14.71%,NC,NC,93.75%,6.25%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
42,Allensworth Elementary,Tulare County,NC,NC,100.00%,50.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
43,Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,97.22%,2.78%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
44,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,NC,NC,78.57%,78.57%,NC,NC,0.00,0,98.08%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
45,Alliance College-Ready Middle Academy 12,Los Angeles Unified,NC,NC,100.00%,100.00%,12.77%,12.77%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
46,Alliance College-Ready Middle Academy 4,Los Angeles Unified,NC,NC,100.00%,100.00%,16.67%,9.52%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
47,Alliance College-Ready Middle Academy 5,Los Angeles Unified,NC,NC,94.55%,98.18%,9.62%,3.70%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.08%,NC,NC,NC,NC,NC,NC,NC,NC
48,Alliance College-Ready Middle Academy 8,Los Angeles Unified,NC,NC,97.33%,97.33%,6.85%,4.11%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
49,Alliance Collins Family College-Ready High,Los Angeles Unified,100.00%,10.00%,94.74%,100.00%,NC,NC,0.00,0,96.43%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
50,Alliance Dr. Olga Mohan High,Los Angeles Unified,NC,NC,90.00%,90.00%,NC,NC,0.00,0,97.62%,2.38%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
51,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,NC,NC,98.51%,98.51%,22.73%,16.67%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
52,Alliance Jack H. Skirball Middle,El Dorado County Charter,NC,NC,97.92%,97.92%,10.64%,8.51%,0.00,0,87.50%,2.08%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
53,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,NC,NC,91.67%,91.67%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
54,Alliance Kory Hunter Middle,Los Angeles Unified,NC,NC,95.12%,97.56%,7.69%,10.00%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
55,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
56,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
57,Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,NC,NC,95.45%,95.45%,47.62%,38.10%,0.00,0,97.33%,1.33%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
58,Alliance Marine - Innovation and Technology 6-12 Complex,Los Angeles Unified,NC,NC,100.00%,97.89%,24.21%,13.98%,0.00,0,84.17%,0.83%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,99.26%,NC,NC,NC,NC,100.00%,NC,NC,NC
59,Alliance Morgan McKinzie High,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,97.18%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.55%,NC,NC,NC,NC,100.00%,NC,NC,NC
60,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,NC,NC,100.00%,100.00%,18.75%,10.42%,0.00,0,93.75%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,93.67%,NC,NC,NC,NC,100.00%,NC,NC,NC
61,Alliance Patti And Peter Neuwirth Leadership Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,96.00%,0,0,NC,NC,95.24%,NC,NC,NC
62,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,NC,40.74%,100.00%,100.00%,NC,NC,0.00,0,98.15%,1.85%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
63,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,NC,NC,89.47%,89.47%,NC,NC,0.00,0,98.28%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.77%,NC,NC,NC,NC,100.00%,NC,NC,NC
64,Alliance Susan and Eric Smidt Technology High,Los Angeles Unified,90.63%,12.12%,96.55%,96.55%,32.14%,0.00%,0.00,0,99.01%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.40%,NC,NC,NC,NC,100.00%,NC,NC,NC
65,Alliance Ted K. Tajima High,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
66,Alliance Tennenbaum Family Technology High,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,97.87%,NC,NC,NC,NC,100.00%,NC,NC,NC
67,Alliance Virgil Roberts Leadership Academy,Los Angeles Unified,NC,NC,98.44%,96.92%,7.94%,6.35%,0.00,0,98.48%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
68,Alma Fuerte Public,El Dorado County Charter,NC,NC,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
69,Almond Acres Charter Academy,San Luis Obispo County,NC,NC,100.00%,95.83%,25.00%,17.39%,NC,0,97.22%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
70,Alpaugh Unified,Tulare County,NC,NC,85.71%,85.71%,NC,NC,0.00,0,85.00%,15.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
71,Alpha Charter,Sacramento County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
72,Alpha Cindy Avitia High,El Dorado County Charter,NC,0.00%,85.71%,85.71%,NC,NC,0.00,0,93.33%,0.00%,5.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,97.50%,NC,NC,NC
73,Alpha: Blanca Alvarado,El Dorado County Charter,NC,NC,100.00%,100.00%,2.70%,8.11%,0.00,0,76.92%,7.69%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,NC,NC,NC,NC
74,Alpha: Cornerstone Academy Preparatory,El Dorado County Charter,NC,NC,100.00%,100.00%,32.43%,40.54%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
75,Alpha: Jose Hernandez,El Dorado County Charter,NC,NC,100.00%,100.00%,8.11%,2.70%,0.00,0,60.53%,10.53%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,NC,NC,NC,NC
76,Alpine County Unified,Tahoe-Alpine,NC,NC,87.50%,87.50%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,96.15%,0,0,NC,NC,NC,NC,NC,NC
77,Alpine Union Elementary,East County,NC,NC,93.15%,93.15%,16.18%,9.56%,0.00,0,59.78%,13.59%,0.00%,28.57%,64.29%,NC,NC,NC,NC,NC,NC,99.63%,0,0,100.00%,NC,NC,NC,NC,NC
78,Alta Loma Elementary,West End,NC,NC,95.59%,95.39%,22.64%,17.86%,NC,0,61.73%,22.07%,1.08%,64.29%,33.67%,NC,NC,NC,NC,NC,NC,99.89%,0,0,100.00%,NC,NC,NC,NC,NC
79,Alta Vista Community Charter,Placer County,NC,NC,87.50%,87.50%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
80,Alta Vista Elementary,Tulare County,NC,NC,100.00%,93.75%,NC,NC,0.00,0,84.62%,15.38%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
81,Alta Vista Innovation High,El Dorado County Charter,83.33%,49.42%,93.33%,93.33%,3.57%,0.00%,NC,0,97.98%,0.81%,0.40%,NC,NC,NC,NC,NC,NC,NC,NC,98.99%,0,0,NC,NC,100.00%,NC,NC,NC
82,Alta-Dutch Flat Union Elementary,Placer County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
83,Alternatives in Action,North Region,NC,NC,50.00%,50.00%,NC,NC,0.00,0,96.43%,3.57%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,92.31%,NC,NC,NC
84,Alum Rock Union Elementary,Southeast Consortium,NC,NC,96.65%,96.91%,8.39%,6.77%,0.43,0,51.59%,27.68%,0.77%,71.18%,21.83%,90.91%,77.78%,90.32%,83.05%,89.66%,85.00%,99.87%,2,6,100.00%,89.74%,NC,NC,NC,NC
85,Alview-Dairyland Union Elementary,Madera-Mariposa County,NC,NC,81.25%,81.25%,NC,NC,0.00,0,86.36%,9.09%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
86,Alvina Elementary,Fresno County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
87,Alvina Elementary Charter,Fresno County,NC,NC,92.86%,92.86%,NC,NC,0.00,0,66.67%,33.33%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
88,Alvord Unified,Riverside County,82.72%,0.75%,97.80%,97.41%,7.95%,4.35%,0.37,0,42.73%,26.40%,2.57%,47.15%,51.22%,90.91%,82.61%,95.45%,85.11%,NC,91.30%,99.40%,0,1,99.63%,100.00%,100.00%,92.98%,96.49%,100.00%
89,Amador County Office of Education,Amador County,NC,NC,86.08%,84.81%,11.76%,7.46%,0.00,0,6.98%,32.56%,18.60%,75.00%,17.31%,NC,80.00%,NC,NC,NC,NC,99.39%,0,1,100.00%,NC,100.00%,NC,NC,NC
90,Amador County Unified,Amador County,89.13%,4.92%,96.16%,96.72%,14.81%,8.76%,0.63,0,45.81%,9.44%,0.61%,NC,NC,NC,NC,NC,NC,NC,NC,99.73%,0,0,100.00%,NC,100.00%,NC,NC,NC
91,Ambassador Phillip V. Sanchez II Public Charter,Fresno County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
92,America's Finest Charter,El Dorado County Charter,NC,NC,100.00%,100.00%,31.91%,46.81%,NC,NC,95.16%,4.84%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
93,American Indian Public Charter II,Oakland Unified,NC,NC,100.00%,100.00%,NC,NC,NC,0,92.59%,7.41%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
94,American Indian Public High,Oakland Unified,NC,NC,66.67%,33.33%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
95,American River Charter,El Dorado County,NC,NC,90.91%,90.91%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
96,Anaheim Elementary,Anaheim City,NC,NC,98.76%,98.17%,12.31%,9.76%,NC,0,67.88%,21.24%,0.74%,50.10%,44.64%,74.03%,61.02%,68.75%,59.83%,64.29%,62.71%,99.83%,0,1,100.00%,98.36%,NC,NC,NC,NC
97,Anaheim Union High,Greater Anaheim,73.45%,6.61%,95.92%,95.03%,9.31%,5.46%,0.22,0,48.49%,15.70%,6.29%,NC,NC,NC,NC,NC,NC,NC,NC,99.95%,0,0,100.00%,NC,99.95%,75.43%,81.57%,99.32%
98,Anahuacalmecac International University Preparatory of North America,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,68.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
99,Anderson New Technology High,Shasta County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
100,Anderson Union High,Shasta County,74.55%,0.00%,85.71%,85.71%,22.92%,25.00%,NC,0,30.15%,18.09%,5.53%,NC,NC,NC,NC,NC,NC,NC,NC,99.55%,0,1,NC,NC,98.73%,NC,NC,NC
101,Anderson Valley Unified,Mendocino County,NC,NC,97.14%,97.14%,17.65%,14.71%,0.00,0,45.28%,9.43%,1.89%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
102,Animo City of Champions Charter High,Southwest Serv Area,NC,NC,NC,NC,NC,NC,NC,NC,56.00%,6.00%,2.00%,NC,NC,NC,NC,NC,NC,NC,NC,97.50%,0,1,NC,NC,100.00%,NC,NC,NC
103,Animo College Preparatory Academy,Los Angeles Unified,NC,57.69%,94.12%,94.12%,NC,NC,0.00,0,41.79%,7.46%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,96.55%,NC,NC,NC,NC,100.00%,NC,NC,NC
104,Animo Ellen Ochoa Charter Middle,Los Angeles Unified,NC,NC,98.33%,98.33%,5.08%,1.69%,0.00,0,98.28%,1.72%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
105,Animo Florence-Firestone Charter Middle,Los Angeles Unified,NC,NC,100.00%,100.00%,5.26%,5.26%,0.00,0,97.14%,2.86%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
106,Animo Inglewood Charter High,Southwest Serv Area,NC,NC,100.00%,100.00%,NC,NC,0.00,0,93.22%,1.69%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
107,Animo Jackie Robinson High,Los Angeles Unified,92.31%,7.41%,100.00%,100.00%,NC,NC,0.00,0,60.82%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
108,Animo James B. Taylor Charter Middle,Los Angeles Unified,NC,NC,100.00%,97.87%,6.38%,6.52%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
