,agency,local_area,4 Year Cohort Graduation Rate* ,Dropout Rate *,Assessment: ELA Participation,Assessment: Math Participation Rate,Assessment: ELA Achievement Rate,Assessment: Math Achievement Rate,Discipline (>10 days) Rate *,Discipline (>10 days) Areas Disproportionate *,LRE Rate: In Regular Class more than 80%,LRE Rate: In Regular Class less than 40%,LRE Rate: Separate Schools,Preschool LRE: Regular Program,Preschool LRE: Separate Class,Positive Socio-Emotional Skills Substantially Increased,Positive Socio-Emotional Skills Functioning within age expectations,Acquisition of Knowledge/Skills Substantially Increased,Acquisition of Knowledge/Skills Functioning within age expectations,Use of Appropriate Behaviors Substantially Increased,Use of Appropriate Behaviors Functioning within age expectations,Parent Involvement Rate,Overall Disproportionality Areas,Disproportionality by Disability Areas,Rate of Eligibility Determined within 60 days,Rate of Part C to Part B Students with Timely IEPs ,Rate of Students with Transition Goals/Services,Rate of Post School Outcomes: Higher Education,Competitive Employment or Higher Education,Any Employment or Education
698,Fenton STEM Academy: Elementary Center for Science Technology Engineering and Mathematics,Los Angeles Unified,NC,NC,88.57%,88.57%,16.13%,16.13%,0.00,0,92.86%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
699,Ferndale Unified,Humboldt-Del Norte,NC,NC,97.56%,97.56%,10.00%,10.00%,0.00,0,77.78%,6.35%,1.59%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
700,Fieldbrook Elementary,Humboldt-Del Norte,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
701,Fillmore Unified,Ventura County,78.05%,0.00%,95.12%,95.43%,3.21%,0.64%,0.45,0,39.73%,20.91%,0.95%,68.49%,19.18%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,100.00%,100.00%,44.44%,58.33%,61.11%
702,Firebaugh-Las Deltas Unified,Fresno County,70.00%,0.00%,100.00%,100.00%,10.20%,6.12%,NC,0,73.79%,12.14%,2.91%,60.00%,13.33%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
703,Five Keys Charter,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
704,Five Keys Independence HS,El Dorado County Charter,100.00%,0.00%,64.29%,57.14%,NC,NC,0.00,0,83.91%,2.30%,2.30%,NC,NC,NC,NC,NC,NC,NC,NC,97.21%,0,0,NC,NC,99.73%,12.00%,52.00%,80.00%
705,Flournoy Union Elementary,Tehama County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
706,Folsom Cordova K-8 Community Charter,Folsom-Cordova Unified,NC,NC,69.23%,69.23%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
707,Folsom-Cordova Unified,Folsom-Cordova Unified,58.50%,2.13%,94.19%,94.19%,23.40%,17.02%,1.05,1,47.59%,22.74%,2.66%,50.00%,44.57%,72.73%,89.04%,NC,91.55%,86.96%,87.67%,99.71%,0,1,100.00%,89.74%,99.85%,50.00%,66.67%,94.44%
