name,students,eighty,eighty-target,forty,forty-target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,four-year-grad,dropout
Gervais SD 1,171.0,87.13,73.0,6.43,10.6,No ,No ,No ,No ,50.0,7.46
Gladstone SD 115,247.0,69.64,73.0,6.88,10.6,No ,No ,No ,No ,83.33,3.37
Glendale SD 77,54.0,77.78,73.0,11.11,10.6,No ,No ,No ,No ,,13.64
Glide SD 12,91.0,60.44,73.0,1.1,10.6,No ,No ,No ,No ,100.0,2.94
Grants Pass SD 7,726.0,61.98,73.0,15.56,10.6,No ,No ,No ,No ,63.41,4.46
Greater Albany Public SD 8J,1198.0,74.79,73.0,9.35,10.6,No ,No ,No ,No ,61.18,2.84
Gresham-Barlow SD 10J,1430.0,63.29,73.0,10.28,10.6,Yes,No ,No ,No ,55.74,4.6
Harney County SD 3,101.0,77.23,73.0,2.97,10.6,No ,No ,No ,No ,53.85,6.52
Harney County SD 4,35.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,
Harney County Union High SD 1J,6.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,
Harper SD 66,13.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,
Harrisburg SD 7J,116.0,72.41,73.0,12.93,10.6,No ,No ,No ,No ,83.33,4.08
Helix SD 1,21.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,0.0
Hermiston SD 8,667.0,68.97,73.0,12.29,10.6,No ,No ,No ,No ,41.38,2.87
Hillsboro SD 1J,2911.0,76.16,73.0,7.63,10.6,Yes,No ,No ,No ,71.24,2.66
Hood River County SD,464.0,70.04,73.0,9.05,10.6,No ,No ,No ,No ,69.39,6.06
Huntington SD 16J,10.0,90.0,73.0,10.0,10.6,No ,No ,No ,No ,,
Imbler SD 11,40.0,82.5,73.0,0.0,10.6,No ,No ,No ,No ,,0.0
Ione SD R2,22.0,81.82,73.0,9.09,10.6,No ,No ,No ,No ,,0.0
Jefferson County SD 509J,455.0,75.6,73.0,7.69,10.6,No ,No ,No ,No ,81.4,4.35
Jefferson SD 14J,132.0,84.09,73.0,6.06,10.6,No ,No ,No ,No ,90.48,0.0
Jewell SD 8,30.0,93.33,73.0,0.0,10.6,No ,No ,No ,No ,,0.0
John Day SD 3,81.0,79.01,73.0,9.88,10.6,No ,No ,No ,No ,75.0,0.0
Jordan Valley SD 3,,,73.0,,10.6,No ,No ,No ,No ,,
Joseph SD 6,24.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,
Junction City SD 69,239.0,59.83,73.0,9.62,10.6,No ,No ,No ,No ,66.67,3.75
Juntura SD 12,,,73.0,,10.6,No ,No ,No ,No ,,
Klamath County SD,874.0,60.76,73.0,8.47,10.6,No ,No ,No ,No ,63.49,5.98
Klamath Falls City Schools,388.0,79.64,73.0,7.99,10.6,No ,No ,No ,No ,40.0,9.55
Knappa SD 4,89.0,80.9,73.0,5.62,10.6,No ,No ,No ,No ,,3.85
La Grande SD 1,350.0,67.14,73.0,8.0,10.6,Yes,No ,No ,No ,80.77,0.95
Lake County SD 7,90.0,65.56,73.0,4.44,10.6,No ,No ,No ,No ,100.0,2.94
Lake Oswego SD 7J,663.0,76.62,73.0,0.45,10.6,No ,No ,No ,No ,78.46,2.0
Lebanon Community SD 9,661.0,79.27,73.0,7.56,10.6,Yes,No ,No ,No ,55.56,9.5
Lincoln County SD,779.0,65.73,73.0,15.92,10.6,No ,No ,No ,No ,71.93,1.75
Long Creek SD 17,,,73.0,,10.6,No ,No ,No ,No ,,
Lowell SD 71,92.0,92.39,73.0,4.35,10.6,No ,No ,No ,No ,100.0,0.0
Mapleton SD 32,25.0,76.0,73.0,12.0,10.6,No ,No ,No ,No ,,0.0
Marcola SD 79J,54.0,90.74,73.0,3.7,10.6,No ,No ,No ,No ,71.43,0.0
McKenzie SD 68,32.0,75.0,73.0,3.13,10.6,No ,No ,No ,No ,,0.0
McMinnville SD 40,803.0,79.2,73.0,11.21,10.6,No ,No ,No ,No ,77.59,1.44
Medford SD 549C,2098.0,76.6,73.0,10.63,10.6,Yes,No ,No ,No ,74.36,3.62
Milton-Freewater Unified SD 7,196.0,75.51,73.0,8.16,10.6,No ,No ,No ,No ,53.33,12.96
Mitchell SD 55,61.0,86.89,73.0,13.11,10.6,No ,No ,No ,No ,16.67,48.78
Molalla River SD 35,377.0,74.54,73.0,7.69,10.6,No ,No ,No ,No ,54.17,2.26
Monroe SD 1J,59.0,71.19,73.0,3.39,10.6,No ,No ,No ,No ,,0.0
Monument SD 8,8.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,
Morrow SD 1,286.0,86.01,73.0,3.5,10.6,No ,No ,No ,No ,78.13,4.17
Mt Angel SD 91,82.0,71.95,73.0,7.32,10.6,No ,No ,No ,No ,,3.57
Myrtle Point SD 41,70.0,77.14,73.0,10.0,10.6,No ,No ,No ,No ,14.29,0.0
Neah-Kah-Nie SD 56,116.0,79.31,73.0,6.9,10.6,No ,No ,No ,No ,,5.88
Nestucca Valley SD 101J,70.0,70.0,73.0,12.86,10.6,No ,No ,No ,No ,,10.0
Newberg SD 29J,641.0,84.09,73.0,4.06,10.6,No ,No ,No ,No ,64.38,3.83
North Bend SD 13,559.0,78.18,73.0,4.47,10.6,No ,No ,No ,No ,34.21,8.13
North Clackamas SD 12,2619.0,64.83,73.0,12.03,10.6,Yes,No ,No ,No ,70.61,4.02
North Douglas SD 22,45.0,82.22,73.0,4.44,10.6,No ,No ,No ,No ,,8.33
North Lake SD 14,45.0,93.33,73.0,0.0,10.6,No ,No ,No ,No ,,8.33
North Marion SD 15,290.0,72.41,73.0,15.86,10.6,No ,No ,No ,No ,68.18,0.95
North Powder SD 8J,39.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,66.67,0.0
North Santiam SD 29J,349.0,64.76,73.0,18.91,10.6,Yes,No ,No ,No ,62.07,1.72
North Wasco County SD 21,420.0,79.05,73.0,9.05,10.6,No ,No ,No ,No ,57.14,2.36
Nyssa SD 26,157.0,91.08,73.0,1.91,10.6,No ,No ,No ,No ,60.0,3.7
Oakland SD 1,82.0,82.93,73.0,6.1,10.6,No ,No ,No ,No ,88.89,0.0
Oakridge SD 76,95.0,76.84,73.0,8.42,10.6,No ,No ,No ,No ,57.14,6.25
Ontario SD 8C,301.0,72.76,73.0,8.31,10.6,No ,No ,No ,No ,82.76,1.18
Oregon City SD 62,1189.0,72.75,73.0,13.37,10.6,No ,No ,No ,No ,70.43,5.47
Oregon Trail SD 46,520.0,65.77,73.0,18.27,10.6,Yes,No ,No ,No ,76.79,6.67
Paisley SD 11,20.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,
Parkrose SD 3,497.0,71.63,73.0,1.41,10.6,No ,No ,No ,No ,51.06,2.34
Pendleton SD 16,434.0,64.75,73.0,10.37,10.6,No ,No ,No ,No ,61.54,2.94
Perrydale SD 21,32.0,90.63,73.0,0.0,10.6,No ,No ,No ,No ,100.0,0.0
