,name,students,eighty,eighty-target,forty,forty-target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,four-year-grad,dropout,STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,_merge
26,Central Curry SD 1,64.0,82.81,73.0,0.0,10.6,No ,No ,No ,No ,,9.52,41.0,5760.0,4105760.0,Central Curry SD 1,0.0,KG,12.0,G5420,,E,2028906939.0,368611908.0,42.5303375,-124.1796764,both
27,Central Linn SD 552,99.0,81.82,73.0,8.08,10.6,No ,No ,No ,No ,50.0,2.78,41.0,2910.0,4102910.0,Central Linn SD 552,0.0,KG,12.0,G5420,,E,485188972.0,2094317.0,44.3994766,-123.0367881,both
28,Central Point SD 6,662.0,68.88,73.0,16.47,10.6,Yes,No ,No ,No ,57.78,2.96,41.0,2940.0,4102940.0,Central Point SD 6,0.0,KG,12.0,G5420,,E,596405965.0,4640159.0,42.5082673,-122.9772141,both
29,Central SD 13J,340.0,64.71,73.0,15.29,10.6,No ,No ,No ,No ,72.97,4.51,41.0,2840.0,4102840.0,Central SD 13J,0.0,KG,12.0,G5420,,E,400698762.0,3987312.0,44.8165079,-123.2312196,both
30,Clatskanie SD 6J,130.0,56.92,73.0,16.15,10.6,No ,No ,No ,No ,44.44,10.64,41.0,3260.0,4103260.0,Clatskanie SD 6J,0.0,KG,12.0,G5420,,E,298439822.0,28040557.0,46.1005464,-123.2097095,both
31,Colton SD 53,85.0,76.47,73.0,7.06,10.6,No ,No ,No ,No ,81.82,8.57,41.0,3270.0,4103270.0,Colton SD 53,0.0,KG,12.0,G5420,,E,496997110.0,174670.0,45.0754721,-122.3358577,both
32,Condon SD 25J,23.0,95.65,73.0,0.0,10.6,No ,No ,No ,No ,,,41.0,3330.0,4103330.0,Condon SD 25J,0.0,KG,12.0,G5420,,E,2122160195.0,3819725.0,45.2530414,-120.2108054,both
33,Coos Bay SD 9,515.0,69.9,73.0,10.1,10.6,No ,No ,No ,No ,61.76,5.71,41.0,3660.0,4103660.0,Coos Bay SD 9,0.0,KG,12.0,G5420,,E,1019156614.0,184808035.0,43.3902729,-124.0462653,both
34,Coquille SD 8,144.0,77.78,73.0,10.42,10.6,No ,No ,No ,No ,36.84,12.73,41.0,3390.0,4103390.0,Coquille SD 8,0.0,KG,12.0,G5420,,E,419826617.0,2920790.0,43.2203103,-124.1163066,both
35,Corbett SD 39,155.0,84.52,73.0,1.94,10.6,No ,No ,No ,No ,100.0,2.08,41.0,3420.0,4103420.0,Corbett SD 39,0.0,KG,12.0,G5420,,E,465361665.0,20595282.0,45.5685304,-122.0445034,both
36,Corvallis SD 509J,675.0,75.11,73.0,9.19,10.6,No ,No ,No ,No ,67.9,3.0,41.0,3480.0,4103480.0,Corvallis SD 509J,0.0,KG,12.0,G5420,,E,490181613.0,4441629.0,44.5524805,-123.2919605,both
37,Cove SD 15,44.0,93.18,73.0,2.27,10.6,No ,No ,No ,No ,,7.14,41.0,3540.0,4103540.0,Cove SD 15,0.0,KG,12.0,G5420,,E,517334262.0,539926.0,45.3543012,-117.75647,both
38,Creswell SD 40,216.0,76.39,73.0,7.41,10.6,No ,No ,No ,No ,83.33,3.53,41.0,3690.0,4103690.0,Creswell SD 40,0.0,KG,12.0,G5420,,E,183931958.0,243087.0,43.9102069,-123.0348605,both
39,Crook County SD,395.0,75.95,73.0,7.34,10.6,No ,No ,No ,No ,65.79,9.4,41.0,3720.0,4103720.0,Crook County SD,0.0,KG,12.0,G5420,,E,9479101192.0,22079245.0,44.0633649,-120.3832837,both
40,Crow-Applegate-Lorane SD 66,40.0,92.5,73.0,2.5,10.6,No ,No ,No ,No ,,0.0,,,,,,,,,,,,,,,left_only
41,Culver SD 4,90.0,73.33,73.0,7.78,10.6,No ,No ,No ,No ,,0.0,41.0,3840.0,4103840.0,Culver SD 4,0.0,KG,12.0,G5420,,E,839474755.0,9948879.0,44.4997319,-121.3268316,both
42,Dallas SD 2,502.0,61.75,73.0,10.36,10.6,Yes,No ,No ,No ,60.0,4.44,41.0,3860.0,4103860.0,Dallas SD 2,0.0,KG,12.0,G5420,,E,609926429.0,283302.0,44.9417824,-123.7223681,both
43,David Douglas SD 40,1160.0,76.72,73.0,7.67,10.6,No ,No ,No ,No ,52.94,4.34,41.0,3940.0,4103940.0,David Douglas SD 40,0.0,KG,12.0,G5420,,E,28043639.0,49290.0,45.4978793,-122.5382188,both
44,Dayton SD 8,119.0,78.99,73.0,7.56,10.6,No ,No ,No ,No ,100.0,1.85,41.0,3990.0,4103990.0,Dayton SD 8,0.0,KG,12.0,G5420,,E,146507298.0,3064435.0,45.193976,-123.0652565,both
45,Dayville SD 16J,6.0,83.33,73.0,0.0,10.6,No ,No ,No ,No ,,,41.0,4020.0,4104020.0,Dayville SD 16J,0.0,KG,12.0,G5420,,E,1138764761.0,32070.0,44.3851264,-119.496273,both
