,name,students,eighty,eighty-target,forty,forty-target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,four-year-grad,dropout,LEA-old,LEA,_merge
71,Gresham-Barlow SD 10J,1430.0,63.29,73.0,10.28,10.6,Yes,No ,No ,No ,55.74,4.6,6000,006000,both
72,Harney County SD 3,101.0,77.23,73.0,2.97,10.6,No ,No ,No ,No ,53.85,6.52,2490,002490,both
73,Harney County SD 4,35.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,,,,left_only
74,Harney County Union High SD 1J,6.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,,3630,003630,left_only
75,Harper SD 66,13.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,,6120,006120,both
76,Harrisburg SD 7J,116.0,72.41,73.0,12.93,10.6,No ,No ,No ,No ,83.33,4.08,19,000019,both
77,Helix SD 1,21.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,0.0,6270,006270,both
78,Hermiston SD 8,667.0,68.97,73.0,12.29,10.6,No ,No ,No ,No ,41.38,2.87,6300,006300,both
79,Hillsboro SD 1J,2911.0,76.16,73.0,7.63,10.6,Yes,No ,No ,No ,71.24,2.66,23,000023,both
80,Hood River County SD,464.0,70.04,73.0,9.05,10.6,No ,No ,No ,No ,69.39,6.06,6510,006510,both
81,Huntington SD 16J,10.0,90.0,73.0,10.0,10.6,No ,No ,No ,No ,,,6600,006600,both
82,Imbler SD 11,40.0,82.5,73.0,0.0,10.6,No ,No ,No ,No ,,0.0,6630,006630,both
83,Ione SD R2,22.0,81.82,73.0,9.09,10.6,No ,No ,No ,No ,,0.0,47,000047,both
84,Jefferson County SD 509J,455.0,75.6,73.0,7.69,10.6,No ,No ,No ,No ,81.4,4.35,6740,006740,both
85,Jefferson SD 14J,132.0,84.09,73.0,6.06,10.6,No ,No ,No ,No ,90.48,0.0,6710,006710,both
86,Jewell SD 8,30.0,93.33,73.0,0.0,10.6,No ,No ,No ,No ,,0.0,6750,006750,both
87,John Day SD 3,81.0,79.01,73.0,9.88,10.6,No ,No ,No ,No ,75.0,0.0,6780,006780,both
88,Jordan Valley SD 3,,,73.0,,10.6,No ,No ,No ,No ,,,6820,006820,both
89,Joseph SD 6,24.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,,6870,006870,both
90,Junction City SD 69,239.0,59.83,73.0,9.62,10.6,No ,No ,No ,No ,66.67,3.75,6930,006930,both
91,Juntura SD 12,,,73.0,,10.6,No ,No ,No ,No ,,,6960,006960,left_only
92,Klamath County SD,874.0,60.76,73.0,8.47,10.6,No ,No ,No ,No ,63.49,5.98,7020,007020,both
93,Klamath Falls City Schools,388.0,79.64,73.0,7.99,10.6,No ,No ,No ,No ,40.0,9.55,7080,007080,both
